model,locality,canonical,condition,speaker,ground_truth,hypothesis,wer,cer,entity_exact,entity_fuzzy,entity_ratio,latency_s,error
deepgram-nova-2,Koramangala,Koramangala,quiet,self,haan main koramangala mein rehta hoon,हां मैं कोरामंगला में रहता हूं,1.0,0.865,False,False,0.0,2.005,
deepgram-nova-2,Indiranagar,Indiranagar,quiet,self,mera ghar indiranagar ke paas hai,मेरा घर इन्द्रनगर के पास है,1.0,0.848,False,False,0.0,1.922,
deepgram-nova-2,Whitefield,Whitefield,quiet,self,haan main whitefield se aata hoon,हां मैं whitefield से आता हूं,0.833,0.545,True,True,1.0,2.196,
deepgram-nova-2,Electronic City,Electronic City,quiet,self,mera office electronic city mein hi hai,मेरा office electronics city में ही है,0.714,0.359,False,True,0.968,2.411,
deepgram-nova-2,Marathahalli,Marathahalli,street_noise,self,marathahalli bridge ke paas drop karo,marthale bridge के पास drop करो,0.667,0.405,False,False,0.7,2.096,
deepgram-nova-2,Jayanagar,Jayanagar,street_noise,self,jayanagar mein ek room dhundh raha hoon,,1.0,1.0,False,False,0.0,2.31,
deepgram-nova-2,Rajajinagar,Rajajinagar,street_noise,self,rajajinagar se bus pakadta hoon main,राजा जी नगर से बस पकड़ता हूं मैं,1.333,0.861,False,False,0.0,2.347,
deepgram-nova-2,Hebbal,Hebbal,street_noise,self,hebbal flyover ke paas rehta hoon,havele flyover के पास रहता हूं,0.833,0.606,False,False,0.5,2.341,
deepgram-nova-2,Yelahanka,Yelahanka,background_noise,self,yelahanka new town mein shift hua hoon,यह law का new town में shift हुआ,0.857,0.526,False,False,0.333,1.97,
deepgram-nova-2,Banashankari,Banashankari,background_noise,self,banashankari temple ke paas ghar hai mera,वन शंकरी temple के पास घर है मेरा,1.0,0.707,False,False,0.0,2.22,
deepgram-nova-2,HSR Layout,HSR Layout,rushed,self,hsr layout sector 2 mein hoon main abhi,hsr layout sector two में हूँ मैं अभी,0.625,0.462,True,True,1.0,2.128,
deepgram-nova-2,BTM Layout,BTM Layout,rushed,self,btm layout first stage jaante ho,btm layout first step जानते हो,0.5,0.344,True,True,1.0,2.06,
deepgram-nova-2,Majestic,Majestic,whispered,self,majestic se bmtc leke jaata hoon,मैं jistry से bmtc लेकर जाता हूं,1.0,0.625,False,False,0.5,2.12,
deepgram-nova-2,Silk Board,Silk Board,whispered,self,silk board par traffic bahut hai,silk board पर traffic बहुत है,0.5,0.344,True,True,1.0,2.095,
deepgram-nova-2,Bellandur,Bellandur,phone_quality,self,bellandur road pe flat liya hai,बेलिंदूर road पर flat लिया है,0.667,0.581,False,False,0.308,2.108,
deepgram-nova-2,Sarjapur,Sarjapur,phone_quality,self,sarjapur road par kaam karta hoon,sir जयपुर road पर काम करता हूं,1.0,0.667,False,False,0.364,1.962,
deepgram-nova-2,Bommanahalli,Bommanahalli,noisy_fast,self,bommanahalli se koramangala 20 min hai,बोमना अली से कोरामला बीस minute है,1.167,0.842,False,False,0.222,2.894,
deepgram-nova-2,KR Puram,KR Puram,noisy_fast,self,kr puram railway station ke paas khada hoon jaldi aaja,केआरपुरम railway station के पास खड़ा हूं जल्दी आ जा,0.9,0.593,False,False,0.273,2.542,
deepgram-nova-2,Peenya,Peenya,quiet_mumbled,self,peenya industrial area mein factory hai,industrial area में factory है,0.5,0.359,False,False,0.4,2.481,
deepgram-nova-2,Yeshwanthpur,Yeshwanthpur,quiet,self,yeshwanthpur se train pakadni hai mereko jaldi aa,यशवंतपुर से train पकड़नी है मेरे को जल्दी,0.875,0.776,False,False,0.235,2.374,
deepgram-nova-2,Indiranagar_2,Indiranagar,street_noise,friend,mera ghar indiranagar ke paas hi hai,मेरा घर इंदिरा नगर के पास ही है,1.143,0.833,False,False,0.0,2.373,
deepgram-nova-2,Bellandur_2,Bellandur,street_noise,friend,bellandur lake ke paas flat liya hai,बैलिंदूर lake के पास flat लिया है,0.714,0.611,False,False,0.308,2.244,
deepgram-nova-2,Sarjapur_2,Sarjapur,street_noise,self,sarjapur road pe khada hun jaldi aaja,सरजापुर road पर खड़ा हो जल्दी आकर,0.857,0.73,False,False,0.167,2.423,
deepgram-nova-2,Yeshwanthpur_2,Yeshwanthpur,street_noise,self_modulated,yeshwantpur se train leni hai jaldi aa,यशवंतपुर से train लेनी है जल्दी आप,0.857,0.711,False,False,0.235,3.166,
whisper-1,Koramangala,Koramangala,quiet,self,haan main koramangala mein rehta hoon,हाँ मैं कोरा मंगला में रहता हूँ,1.167,0.865,False,False,0.0,2.002,
whisper-1,Indiranagar,Indiranagar,quiet,self,mera ghar indiranagar ke paas hai,मेरा घर इंद्रानगर के पास है,1.0,0.848,False,False,0.0,1.965,
whisper-1,Whitefield,Whitefield,quiet,self,haan main whitefield se aata hoon,हाँ मैं वाइट फील्ड से आता हूँ,1.167,0.848,False,False,0.0,2.561,
whisper-1,Electronic City,Electronic City,quiet,self,mera office electronic city mein hi hai,मेरा ओफिस एलेक्टॉनिक सिटी में ही है,1.0,0.846,False,False,0.111,2.347,
whisper-1,Marathahalli,Marathahalli,street_noise,self,marathahalli bridge ke paas drop karo,मार्थरली व्रिज्ज के पास रोप करो,1.0,0.865,False,False,0.0,2.46,
whisper-1,Jayanagar,Jayanagar,street_noise,self,jayanagar mein ek room dhundh raha hoon,जया नगर मैं एक रूम ढूल रहा हूँ,1.143,0.846,False,False,0.0,2.777,
whisper-1,Rajajinagar,Rajajinagar,street_noise,self,rajajinagar se bus pakadta hoon main,राजा जी नगर से बस पकड़ता हूँ बहुत,1.333,0.861,False,False,0.0,2.378,
whisper-1,Hebbal,Hebbal,street_noise,self,hebbal flyover ke paas rehta hoon,हेबल लायोगर के पास रहता हूँ,1.0,0.848,False,False,0.0,1.594,
whisper-1,Yelahanka,Yelahanka,background_noise,self,yelahanka new town mein shift hua hoon,ये लहंका न्यू टाउन में शिफ्ट हुआ हूँ,1.143,0.842,False,False,0.0,2.567,
whisper-1,Banashankari,Banashankari,background_noise,self,banashankari temple ke paas ghar hai mera,बनशंकरी टेंपल के पास घर है मेरा,1.0,0.854,False,False,0.0,2.525,
whisper-1,HSR Layout,HSR Layout,rushed,self,hsr layout sector 2 mein hoon main abhi,HSR Layout Sector 2 में हूँ हूँ मैं अभी,0.625,0.41,True,True,1.0,2.322,
whisper-1,BTM Layout,BTM Layout,rushed,self,btm layout first stage jaante ho,बीटियम लेयावुट फर्स्ट यह जानते हो।,1.0,0.875,False,False,0.133,3.803,
whisper-1,Majestic,Majestic,whispered,self,majestic se bmtc leke jaata hoon,मैं जिस्टिक से BMTC लेके जाता हूँ,1.0,0.719,False,False,0.5,2.408,
whisper-1,Silk Board,Silk Board,whispered,self,silk board par traffic bahut hai,सिर्क बोर्ड पर ट्राफिक बहुत है,1.0,0.844,False,False,0.133,2.707,
whisper-1,Bellandur,Bellandur,phone_quality,self,bellandur road pe flat liya hai,बेलेंडूल रोड पे फ्लैट लिया है,1.0,0.839,False,False,0.0,3.909,
whisper-1,Sarjapur,Sarjapur,phone_quality,self,sarjapur road par kaam karta hoon,सर्जापूर रोड पर काम करता हूँ,1.0,0.848,False,False,0.0,2.42,
whisper-1,Bommanahalli,Bommanahalli,noisy_fast,self,bommanahalli se koramangala 20 min hai,बोमना अल्ली से कोरा मंगला बीस मिनट है,1.333,0.868,False,False,0.0,2.404,
whisper-1,KR Puram,KR Puram,noisy_fast,self,kr puram railway station ke paas khada hoon jaldi aaja,के आर्पुरम डेल्बी सेशन के पास खड़ा हूँ जल्दी आजा,1.0,0.833,False,False,0.167,2.784,
whisper-1,Peenya,Peenya,quiet_mumbled,self,peenya industrial area mein factory hai,पीन्या अंडस्ट्र एरिया में फैक्ट्री है,1.0,0.872,False,False,0.0,2.683,
whisper-1,Yeshwanthpur,Yeshwanthpur,quiet,self,yeshwanthpur se train pakadni hai mereko jaldi aa,यश्वन्त पुर से ट्रेन पगड़नी है मेरे को जल्दी है,1.25,0.857,False,False,0.0,2.297,
whisper-1,Indiranagar_2,Indiranagar,street_noise,friend,mera ghar indiranagar ke paas hi hai,मेरा गर इंद्रा नगर के पास ही है,1.143,0.833,False,False,0.0,1.829,
whisper-1,Bellandur_2,Bellandur,street_noise,friend,bellandur lake ke paas flat liya hai,बैलिंडू लेक के पास फ्लैट लिया है,1.0,0.833,False,False,0.0,2.253,
whisper-1,Sarjapur_2,Sarjapur,street_noise,self,sarjapur road pe khada hun jaldi aaja,सर्जापूर रोट पर कड़ाओ जल्दी आजा,1.0,0.865,False,False,0.0,2.269,
whisper-1,Yeshwanthpur_2,Yeshwanthpur,street_noise,self_modulated,yeshwantpur se train leni hai jaldi aa,"ये श्वंत कोड से ट्रेन लेनी है, ज़िल्दी आप",1.286,0.842,False,False,0.0,2.61,
sarvam-saarika-v2,Koramangala,Koramangala,quiet,self,haan main koramangala mein rehta hoon,"हाँ, मैं कोरा मंगला में रहता हूँ।",1.167,0.865,False,False,0.0,2.001,
sarvam-saarika-v2,Indiranagar,Indiranagar,quiet,self,mera ghar indiranagar ke paas hai,मेरा घर इंदिरानगर के पास है।,1.0,0.848,False,False,0.0,2.248,
sarvam-saarika-v2,Whitefield,Whitefield,quiet,self,haan main whitefield se aata hoon,"हाँ, मैं व्हाइट फील्ड से आता हूँ।",1.167,0.848,False,False,0.0,2.355,
sarvam-saarika-v2,Electronic City,Electronic City,quiet,self,mera office electronic city mein hi hai,मेरा ऑफ़िस इलेक्ट्रॉनिक सिटी में ही है,1.0,0.846,False,False,0.111,2.198,
sarvam-saarika-v2,Marathahalli,Marathahalli,street_noise,self,marathahalli bridge ke paas drop karo,मार्थ अली ब्रिज के पास ड्रॉप करो,1.167,0.865,False,False,0.0,2.169,
sarvam-saarika-v2,Jayanagar,Jayanagar,street_noise,self,jayanagar mein ek room dhundh raha hoon,जयनगर में इधर हूं दूर,1.0,0.897,False,False,0.0,2.145,
sarvam-saarika-v2,Rajajinagar,Rajajinagar,street_noise,self,rajajinagar se bus pakadta hoon main,राजाजी नगर से बस पकड़ता हूँ मैं।,1.167,0.861,False,False,0.0,1.869,
sarvam-saarika-v2,Hebbal,Hebbal,street_noise,self,hebbal flyover ke paas rehta hoon,हेबल फ्लाईओवर के पास रहता हूँ।,1.0,0.848,False,False,0.0,1.629,
sarvam-saarika-v2,Yelahanka,Yelahanka,background_noise,self,yelahanka new town mein shift hua hoon,ये लहंगा न्यू टाउन में शिफ्ट हुआ हूँ।,1.143,0.842,False,False,0.0,17.203,
sarvam-saarika-v2,Banashankari,Banashankari,background_noise,self,banashankari temple ke paas ghar hai mera,बनशंकरी टेंपल के पास घर है मेरा,1.0,0.854,False,False,0.0,2.473,
sarvam-saarika-v2,HSR Layout,HSR Layout,rushed,self,hsr layout sector 2 mein hoon main abhi,एचएसआर लेआउट सेक्टर टू में हूं मैं अभी।,1.0,0.872,False,False,0.154,2.23,
sarvam-saarika-v2,BTM Layout,BTM Layout,rushed,self,btm layout first stage jaante ho,बीटीएम लेआउट फर्स्ट ईयर जानते हो?,1.0,0.875,False,False,0.133,2.178,
sarvam-saarika-v2,Majestic,Majestic,whispered,self,majestic se bmtc leke jaata hoon,मैं मैजेस्टिक से बीएमटीसी लेके जाता हूं।,1.167,0.875,False,False,0.0,2.628,
sarvam-saarika-v2,Silk Board,Silk Board,whispered,self,silk board par traffic bahut hai,सिल्क बोर्ड पर ट्रैफिक बहुत है।,1.0,0.844,False,False,0.133,2.168,
sarvam-saarika-v2,Bellandur,Bellandur,phone_quality,self,bellandur road pe flat liya hai,बेलन ड्यूल रोड पे फ्लैट लिया है।,1.167,0.839,False,False,0.0,2.309,
sarvam-saarika-v2,Sarjapur,Sarjapur,phone_quality,self,sarjapur road par kaam karta hoon,सरजापुर रोड पर काम करता हूँ,1.0,0.848,False,False,0.0,1.712,
sarvam-saarika-v2,Bommanahalli,Bommanahalli,noisy_fast,self,bommanahalli se koramangala 20 min hai,बोमना अली से कोरा मंगला 20 मिनट है।,1.167,0.816,False,False,0.0,1.804,
sarvam-saarika-v2,KR Puram,KR Puram,noisy_fast,self,kr puram railway station ke paas khada hoon jaldi aaja,"केआर पूरम रेलवे स्टेशन के पास खड़ा हूँ, जल्दी आजा।",1.0,0.852,False,False,0.167,1.74,
sarvam-saarika-v2,Peenya,Peenya,quiet_mumbled,self,peenya industrial area mein factory hai,पीने इंडस्ट्रियल एरिया में फैक्ट्री है।,1.0,0.872,False,False,0.0,2.319,
sarvam-saarika-v2,Yeshwanthpur,Yeshwanthpur,quiet,self,yeshwanthpur se train pakadni hai mereko jaldi aa,यशवंतपुर से ट्रेन पकड़नी है मेरे को जल्दी।,1.0,0.878,False,False,0.0,2.155,
sarvam-saarika-v2,Indiranagar_2,Indiranagar,street_noise,friend,mera ghar indiranagar ke paas hi hai,मेरा घर इंदिरा नगर के पास ही है।,1.143,0.833,False,False,0.0,2.272,
sarvam-saarika-v2,Bellandur_2,Bellandur,street_noise,friend,bellandur lake ke paas flat liya hai,बेलिंडूर लेक के पास फ्लैट लिया है।,1.0,0.833,False,False,0.0,2.077,
sarvam-saarika-v2,Sarjapur_2,Sarjapur,street_noise,self,sarjapur road pe khada hun jaldi aaja,"सरजापुर रोड पे खड़ा हो, जल्दी आजा।",1.0,0.838,False,False,0.0,2.265,
sarvam-saarika-v2,Yeshwanthpur_2,Yeshwanthpur,street_noise,self_modulated,yeshwantpur se train leni hai jaldi aa,ये शोधपुर से ट्रेन लेनी है जल्दी आप।,1.143,0.842,False,False,0.0,2.29,
